signal_date,entry_date,asset,headline_summary,sentiment_score,signal,entry_price,price_1d,price_3d,price_7d
2025-08-15,2025-08-16,BTC-USD,"Markets Weekly Outlook: Jackson Hole, NZ Rate Decisions And U.K./EU Inflation Data | Hedge Fund Manager Paul Tudor Jones Bets Big On Opendoor: Exits Disney, Broadcom, Chinese Equities—Trims Exposure To Bitcoin, Alphabet",0.463042676448822,🟢 BUY,117398.421875,117453.0625,112831.1796875,115374.328125
2025-08-18,2025-08-19,BTC-USD,"Cryptocurrencies Extend Their Decline From Recent Highs | The Zacks Analyst Blog Highlights MicroStrategy, Grayscale Bitcoin Trust ETF, iShares Bitcoin Trust, Fidelity Wise Origin Bitcoin Trust, ARK 21Shares Bitcoin ETF and Bitwise Bitcoin ETF | Excess Bullishness And 10 Rules To Navigate It | Bitcoin, Ethereum ETFs Diverge As ETH Takes The Lead BlackRock's IBIT Shines",-0.24269859492778778,🔴 SELL,116241.859375,114274.7421875,116874.0859375,111802.65625
2025-08-19,2025-08-20,BTC-USD,VanEck Mid-August 2025 Bitcoin ChainCheck,0.0,⚪ HOLD,112828.0234375,112419.03125,115374.328125,111222.0625
2025-08-20,2025-08-21,BTC-USD,Cryptocurrencies: Bitcoin Quickly Retreats From Record High | Over $500 Million In Outflows From Bitcoin ETFs: What Does It Mean For The Bull Market?,-0.48249557614326477,🔴 SELL,114275.6875,116874.0859375,113458.4296875,112544.8046875
2025-08-22,2025-08-23,BTC-USD,Dow Jones New All-Time Highs: Market Reactions To Fed Chair Powell's Jackson Hole Speech,0.0,⚪ HOLD,116866.3671875,113458.4296875,111802.65625,108808.0703125
2025-08-23,2025-08-24,BTC-USD,Weekly Commentary: Discounting The Loss Of Fed Independence,0.0,⚪ HOLD,115387.390625,110124.3515625,111222.0625,108236.7109375
2025-08-29,2025-08-30,BTC-USD,"Markets Weekly Outlook: U.S. Non-Farm Payrolls, U.S. ISM Services PMIs And Eurozone Inflation | Who's In Charge Of The U.S. Economy (If Not The Fed)?",0.0,⚪ HOLD,108409.40625,108236.7109375,111200.5859375,110224.6953125
2025-09-02,2025-09-03,BTC-USD,Former Grayscale ETF Chief David LaValle to Lead CoinDesk Indices in Institutional Push | Major Asset Classes: August 2025 Performance Review,0.0,⚪ HOLD,111190.6953125,110723.6015625,110224.6953125,113955.359375
2025-09-03,2025-09-04,BTC-USD,3 Lessons From An Eventful 2025,0.0,⚪ HOLD,111718.1484375,110650.984375,111167.6171875,115507.5390625
2025-09-05,2025-09-06,BTC-USD,VanEck Crypto Monthly Recap For August 2025,0.0,⚪ HOLD,110650.5703125,111167.6171875,111530.546875,115950.5078125
2025-09-10,2025-09-11,BTC-USD,From Gray Areas To Green Lights: U.S. Digital Assets Enter The Mainstream,0.0,⚪ HOLD,113961.4296875,116101.578125,115407.65625,117137.203125
2025-09-11,2025-09-12,BTC-USD,"Bitcoin ETFs: What You Need to Know About Inflows, Outflows, and Price Moves",0.0,⚪ HOLD,115507.7890625,115950.5078125,115444.875,115688.859375
2025-09-12,2025-09-13,BTC-USD,Testing Gold And Bitcoin As Portfolio Diversification Tools | Ethereum Tries To Gather Momentum After The CPI Report (Technical Analysis),0.2808234691619873,🟢 BUY,116093.5625,115407.65625,116843.1875,115721.9609375
2025-09-15,2025-09-16,BTC-USD,The Stagflation Protection Portfolio,0.0,⚪ HOLD,115423.7578125,116468.5078125,115688.859375,112014.5
2025-09-16,2025-09-17,BTC-USD,Will Rate Cuts Fuel Bitcoin ETF Momentum?,0.5417388081550598,🟢 BUY,116840.5078125,117137.203125,115721.9609375,113328.6328125
2025-09-17,2025-09-18,BTC-USD,"FBI Director Kash Patel Bought 2 Stocks In 2025 — One's Already A Meme Favorite | AI And The Ethereum Dollar | September 2025 Macro Outlook: Fiscal Flows, Bank Credit, And Fed Policy Implications",0.0,⚪ HOLD,116461.265625,115688.859375,115306.09375,109049.2890625
2025-09-18,2025-09-19,BTC-USD,GBTC Is Growing AUM Again - Is Bitcoin Getting Better Than Gold?,0.9268871545791626,🟢 BUY,117137.671875,115721.9609375,112748.5078125,109712.828125
2025-09-19,2025-09-20,BTC-USD,Here's How Much $1000 Invested In Grayscale Bitcoin Trust (BTC) Common Units of fractional undivided beneficial interest 5 Years Ago Would Be Worth Today,0.0,⚪ HOLD,115691.125,115306.09375,112014.5,109681.9453125
2025-09-22,2025-09-23,BTC-USD,"Binance Coin Breaks $1,000 Despite A Crypto Pullback (Technical Analysis) | 5 Reasons Bitcoin Will Climb To $200,000 In The Coming Months | FBTC: Appreciating The Undercurrents Of Cryptocurrency Investing",0.552851140499115,⚪ HOLD,112757.4765625,113328.6328125,109712.828125,114056.0859375
2025-09-23,2025-09-24,BTC-USD,Polygon Price Holds As Bulls Defend Crucial Trendline (Technical Analysis),0.0,⚪ HOLD,112007.6640625,109049.2890625,109681.9453125,118648.9296875
2025-09-24,2025-09-25,BTC-USD,Is The U.S. Dollar At A Crossroads?,0.0,⚪ HOLD,113330.1640625,109712.828125,112122.640625,120681.2578125
2025-09-25,2025-09-26,BTC-USD,VanEck Mid-September 2025 Bitcoin ChainCheck,0.0,⚪ HOLD,109041.296875,109681.9453125,114400.3828125,122266.53125
2025-09-26,2025-09-27,BTC-USD,"Stablecoins As Inflation Drivers | If You Invested $1000 In Grayscale Bitcoin Trust (BTC) Common Units of fractional undivided beneficial interest Stock 5 Years Ago, You Would Have This Much Today",0.0,⚪ HOLD,109707.140625,112122.640625,114056.0859375,122425.4296875
2025-09-27,2025-09-28,BTC-USD,Weekly Commentary: Canary?,0.0,⚪ HOLD,109681.9453125,114400.3828125,118648.9296875,123513.4765625
2025-09-30,2025-10-01,BTC-USD,Bitcoin ETF Inflows Fuel Rebound As September Closes In Profit,0.856564998626709,🟢 BUY,114057.59375,120681.2578125,122425.4296875,123354.8671875
2025-10-01,2025-10-02,BTC-USD,ETFs: A Guide to the Benefits and Dangers | Major Asset Classes: September 2025 Performance Review | Measuring Bitcoin's Risk And Reward,0.0,⚪ HOLD,118652.3828125,122266.53125,123513.4765625,121705.5859375
2025-10-03,2025-10-04,BTC-USD,"Cryptocurrencies Are Loving The Rally In Bitcoin | Bitcoin: Uptober Arrived, And My New Target Price Too!",0.40385928750038147,🟢 BUY,122267.46875,123513.4765625,121451.3828125,110807.8828125
2025-10-04,2025-10-05,BTC-USD,"Weekly Commentary: A Feature, Not A Bug",0.0,⚪ HOLD,122419.671875,124752.53125,123354.8671875,115169.765625
2025-10-06,2025-10-07,BTC-USD,"Grayscale Launches Staking Feature For Ethereum And Solana Funds, Giving Investors New Crypto Income Options",0.5349050164222717,🟢 BUY,124752.140625,123354.8671875,113214.3671875,113118.6640625
2025-10-07,2025-10-08,BTC-USD,GBTC: A Strong Bitcoin Bet,0.9291000366210938,🟢 BUY,121448.3515625,121705.5859375,110807.8828125,110783.1640625
2025-10-08,2025-10-09,BTC-USD,Institutional Wave Pushes Bitcoin ETFs Toward Record Quarter | Can the Uptober Momentum Shift Focus Back to Bitcoin ETFs?,0.2537968158721924,🟢 BUY,123337.0703125,113214.3671875,115169.765625,108186.0390625
2025-10-10,2025-10-11,BTC-USD,"October 2025 Trading Outlook: Fiscal Flows, Bank Credit, And Fed Policy Implications | Are AI Stocks As Solid As You Think They Are?",0.0,⚪ HOLD,113236.4296875,115169.765625,113118.6640625,107198.265625
2025-10-11,2025-10-12,BTC-USD,"Weekly Commentary: Two Questions | Markets Weekly Outlook: Geopolitical Peace And Turmoil, Third Week Of Shutdown",-0.4625749886035919,🔴 SELL,110811.515625,115271.078125,110783.1640625,108666.7109375
2025-10-13,2025-10-14,BTC-USD,"Bitcoin, Gold And The Hard-Money Renaissance: A Practical Playbook For Allocators",0.0,⚪ HOLD,115264.8828125,110783.1640625,106467.7890625,108476.890625
2025-10-14,2025-10-15,BTC-USD,"Gold And Bitcoin As Portfolio Diversifiers: Why Interest Is Rising Now | Bitcoin, Ethereum ETFs Bleed $755 Million, But Technical Analysis Gives Bulls Hope | U.S.-China Tensions Put A Damper On Stocks While Gold Rises",-0.28181256850560504,🔴 SELL,113113.96875,108186.0390625,107198.265625,107688.5859375
2025-10-15,2025-10-16,BTC-USD,U.S. Dollar Drop Not That Unusual - Yet,-0.9191458821296692,🔴 SELL,110782.171875,106467.7890625,108666.7109375,110069.7265625
