signal_date,entry_date,asset,headline_summary,sentiment_score,signal,entry_price,price_1d,price_3d,price_7d
2026-06-30,2026-07-01,GC=F,"Why Gold No Longer Protects | Dow Hits Record, Meta Soars On AI-Cloud Bet: Stock Market Today | Markets Taking A Break After Epic Quarter; Crude Falls | Fed's Warsh Calls Inflation 'Too High' — But July Rate-Hike Odds Cool | The Biggest ETF Losers of 2026 H1 Were Last Year's Winners",-0.4,🔴 SELL,4013.10009765625,4112.7001953125,4145.2998046875,3997.0
2026-07-01,2026-07-02,GC=F,"Total Return Forecasts: Major Asset Classes - July 2, 2026 | Macro Insights: H2 Outlook, A Hawk-Eyed Fed, And The AI TAM Contraction | Gold Mid-Year Outlook 2026: Point Break | Gold Eyes Recovery After Worst Quarter in 13 Years—What’s Next? | Why Gold No Longer Protects",-0.2,⚪ HOLD,4067.5,4155.10009765625,4070.89990234375,4061.10009765625
2026-07-02,2026-07-06,GC=F,"Central Bank Gold Statistics: Central Banks Remain Committed To Gold | Commodities: Oil Under Pressure Amid Rebound In Middle East Flows | Total Return Forecasts: Major Asset Classes - July 2, 2026 | Macro Insights: H2 Outlook, A Hawk-Eyed Fed, And The AI TAM Contraction | Gold Mid-Year Outlook 2026: Point Break",-0.4,🔴 SELL,4175.39990234375,4145.2998046875,4130.60009765625,4044.0
2026-07-06,2026-07-07,GC=F,"Stock Dispersion Jumps As The Equity Rally Broadens | A $1,000 Gold Rally? Why Analysts Are Repricing Safe Havens | Update: Gold Edges Lower as the Dollar and Yields Move Up | GLD vs SLV: Gold Stability Versus Silver Momentum | Gold Slides Below $4,120 as Rate-Hike Bets Shift",0.0,⚪ HOLD,4126.5,4070.89990234375,4104.10009765625,3985.60009765625
2026-07-07,2026-07-08,GC=F,"Update: Gold Falls as Fresh Middle East Fighting Lifts Oil, Revives Inflation Worries | Exchange-Traded Funds, Equity Futures Lower Pre-Bell Wednesday as Trump Declares US-Iran Agreement Over | Gold Falls as Fresh Middle East Fighting Lifts Oil, Revives Inflation Worries | Energy Supercycle, Gold Arbitrage, Small-Cap Debt Issue, And Dollar Smile | Oil Stocks Rally, S&P 500 Plunges As Iran Ceasefire Sinks: Stock Market Today",-0.4,🔴 SELL,4116.2998046875,4130.60009765625,3997.0,4012.699951171875
2026-07-08,2026-07-09,GC=F,"Update: Gold Moves Higher as Dollar, Yields Drop as Middle East Fighting Resumes | GDX vs. GDXJ: Do Senior or Junior Gold Miners Win the Gold Boom? | Exchange-Traded Funds Higher, Equity Futures Mixed Pre-Bell Thursday as Chip Stocks Rebound Despite US-Iran Tensions | Greg Sharenow On Structural Changes In The Commodity Complex | Gold Is In A Bear Market — But These ETFs Are Built For Exactly This",0.0,⚪ HOLD,4066.39990234375,4104.10009765625,4061.10009765625,4010.300048828125
2026-07-09,2026-07-10,GC=F,"Gold Drops Over 20% Since Iran War as HSBC Cuts 2026 Forecast | Update: Gold Moves Lower as Treasury Yields Rise | Poland Buys 82 Tons of Gold as Prices Fall Over 10% | Exchange-Traded Funds, Equity Futures Mixed Pre-Bell Friday Amid Renewed US-Iran Tensions Ahead of Q2 Earnings Season | It's Time To Buy Gold And Silver",-0.8,🔴 SELL,4122.2998046875,3997.0,4044.0,4071.10009765625
2026-07-10,2026-07-13,GC=F,Gold Pullback: Why The Long-Term Investment Case Remains Intact | Weekly Commentary: Currency Pegs And Carry Trades | Gold Drops Over 20% Since Iran War as HSBC Cuts 2026 Forecast | Update: Gold Moves Lower as Treasury Yields Rise | Poland Buys 82 Tons of Gold as Prices Fall Over 10%,-0.6,🔴 SELL,4081.0,4061.10009765625,3985.60009765625,4146.89990234375
2026-07-13,2026-07-14,GC=F,"‘The Craziness Will Return,’ Why Mining Majors Will Fight Over Four Copper Deposits | Commodities: Oil Surges As U.S. Reinstates Blockade On Iran | Commodities Tracker: June 2026 | Gold's Next Move Hinges On One Thing | Rick Rule On Surviving 50% Drops, Reveals Where The Next 10-Baggers Are Hiding",-0.4,🔴 SELL,3995.699951171875,4044.0,4012.699951171875,4046.60009765625
2026-07-14,2026-07-15,GC=F,"Precious Metals Royalty And Streaming Companies - June 2026 Report | Treasury Secretary Bessent Unveils $1 Trump Coin: What Do Prediction Markets Say About It? (UPDATED) | Producer Inflation Drops by 0.3% in June, Backing the Case for a Fed on Hold (UPDATED) | Fiera Capital Global Asset Allocation - July 2026 Market Update | High Yields, Higher Risk: Why I'm Slowly Averaging Into Covered Call ETFs Instead Of Going All In",-0.2,⚪ HOLD,4049.10009765625,3985.60009765625,4010.300048828125,4067.60009765625
