signal_date,entry_date,asset,headline_summary,sentiment_score,signal,entry_price,price_1d,price_3d,price_7d
2026-06-30,2026-07-01,BTC-USD,"Prediction: 1 Cryptocurrency That Will Be Worth More than Bitcoin and Ethereum Combined | As Trump reports $2.2 billion in 2025 income, ethics experts raise alarms | Donald Trump Reports $2.2B In Personal Revenue During First Year Of Second Presidential Term | WSJ Editorial Board Accuses Trump Family of ‘Cashing In on the Presidency in Big and Sketchy Ways’ | Audacity of Trump's billion-dollar haul has shaken MAGA allies from their slumber... now horrified insiders are confiding their worst fears about these jaw-dropping receipts: MARK HALPERIN",-0.2,⚪ HOLD,58562.4453125,61485.30078125,63088.3046875,62257.57421875
2026-07-01,2026-07-02,BTC-USD,"CNBC Halftime Report Final Trades: Amazon, CRH PLC, Alphabet Class A, iShares Bitcoin Trust | Trump discloses over $1.4 billion in crypto income in 2025 filing | Major Asset Classes: June 2026 Performance Review",0.0,⚪ HOLD,60004.76953125,62544.19921875,63547.8828125,63193.1484375
2026-07-02,2026-07-03,BTC-USD,Weekly Wrap: Crypto Recovers To Start Third Quarter | NC lawmakers unanimously crack down on crypto ATMs | Zentro Announces Expansion of Digital Asset Services Focused on Liquidity and Payment Solutions in the United Arab Emirates | How Crypto Proprietary Trading Platforms Provide Retail Traders With New Possibilities | FIFA’s 2026 World Cup schedule shake-up draws fire from Mexico coach as crypto partner Kraken watches from the sidelines,0.2,⚪ HOLD,61492.06640625,63088.3046875,63995.015625,64127.140625
2026-07-03,2026-07-04,BTC-USD,Weekly Commentary: Our Semiquincentennial Gilded Age,0.0,⚪ HOLD,62545.12890625,63547.8828125,63297.39453125,63802.02734375
2026-07-04,2026-07-05,BTC-USD,Weekly Commentary: Our Semiquincentennial Gilded Age,0.0,⚪ HOLD,63089.05859375,63995.015625,62257.57421875,63758.21875
2026-07-05,2026-07-06,BTC-USD,Is the Bitcoin ETF Boom Losing Momentum? | Bitcoin: One More Flush Before The Bottom,-0.5,🔴 SELL,63551.015625,63297.39453125,63193.1484375,62239.12109375
2026-07-06,2026-07-07,BTC-USD,"World Cup quarterfinals are set, and crypto betting markets are having their own tournament | Nearly 1 million investors in Trump's memecoin lost a collective $3.8 billion as he cashed in | SEC Plans Crypto Rules to Lure Markets Onshore | Premier League clubs’ pre-tax losses surge to nearly £1B as crypto sponsorship scrutiny intensifies | US revokes Iran oil sale authorization after tanker attacks, sending crude prices surging",-0.6,🔴 SELL,63994.59765625,62257.57421875,64127.140625,64956.11328125
2026-07-07,2026-07-08,BTC-USD,Cryptocurrencies: Bitcoin Back Above $60K | Cryptocurrency Theft Is Rising—Are Crypto Holders Losing Confidence?,0.0,⚪ HOLD,63293.51953125,63193.1484375,63802.02734375,64712.375
2026-07-08,2026-07-09,BTC-USD,Beyond ETFs: How Derivatives And Tokenization Are Reshaping Crypto | Strategy: A Good Pivot To Get Through The Bitcoin Winter | Bitcoin Sentiment Is Dire | Cryptocurrencies: Bitcoin Back Above $60K | Cryptocurrency Theft Is Rising—Are Crypto Holders Losing Confidence?,0.0,⚪ HOLD,62257.31640625,64127.140625,63758.21875,63789.28125
2026-07-09,2026-07-10,BTC-USD,Beyond ETFs: How Derivatives And Tokenization Are Reshaping Crypto | Strategy: A Good Pivot To Get Through The Bitcoin Winter | Bitcoin Sentiment Is Dire,0.0,⚪ HOLD,63194.359375,63802.02734375,62239.12109375,63899.4609375
2026-07-10,2026-07-11,BTC-USD,Weekly Commentary: Currency Pegs And Carry Trades,0.0,⚪ HOLD,64127.96875,63758.21875,64956.11328125,64796.6015625
2026-07-11,2026-07-12,BTC-USD,Weekly Commentary: Currency Pegs And Carry Trades,0.0,⚪ HOLD,63791.40234375,62239.12109375,64712.375,64690.8046875
2026-07-12,2026-07-13,BTC-USD,"Market Brief: A Pivotal Week For Bitcoin, Gold, And Silver",0.0,⚪ HOLD,63757.171875,64956.11328125,63789.28125,65230.02734375
2026-07-13,2026-07-14,BTC-USD,"Shares of crypto-linked companies are trading higher amid a rise in Bitcoin after weaker-than-expected June inflation data reduced expectations that the Federal Reserve would hike interest rates this year. The prospect of a less restrictive monetary policy may support demand for risk assets. | Market Brief: A Pivotal Week For Bitcoin, Gold, And Silver",0.5,⚪ HOLD,62238.5859375,64712.375,63899.4609375,66505.125
2026-07-14,2026-07-15,BTC-USD,A Concerning Development For Bitcoin: Extended Chain Split | Shares of crypto-linked companies are trading higher amid a rise in Bitcoin after weaker-than-expected June inflation data reduced expectations that the Federal Reserve would hike interest rates this year. The prospect of a less restrictive monetary policy may support demand for risk assets.,0.5,🟢 BUY,64959.80859375,63789.28125,64796.6015625,66100.796875
2026-07-15,2026-07-16,BTC-USD,A Concerning Development For Bitcoin: Extended Chain Split,0.0,⚪ HOLD,64713.296875,63899.4609375,64690.8046875,65044.8125
2026-07-16,2026-07-17,BTC-USD,"Where To Invest Now In AI, Biotech, Small Caps, And Gold | Market Brief: Warsh Won't Bless The Cool CPI, But Bitcoin And Gold Surge Anyway",0.0,⚪ HOLD,63789.91015625,64796.6015625,65230.02734375,64098.49609375
2026-07-17,2026-07-18,BTC-USD,"Whale's Insight: Bitcoin's CPI Rally Is Fake, Built On Borrowed Money | Weekly Commentary: Sloppy | Where To Invest Now In AI, Biotech, Small Caps, And Gold | Market Brief: Warsh Won't Bless The Cool CPI, But Bitcoin And Gold Surge Anyway",-0.25,🔴 SELL,63899.1796875,64690.8046875,66505.125,64311.8125
